Date,RateChange,Sentiment
2023-03-22,0.25,Hawkish
2023-06-14,0.00,Dovish
2023-07-26,0.25,Hawkish
2023-09-20,0.00,Neutral
2023-11-01,0.00,Dovish
2023-12-13,0.00,Dovish
2024-01-31,0.00,Hawkish
2024-03-20,0.00,Neutral
